Licor unixtime,LiCor time (Sec),LiCor conc (ppm),SCD unixtime,SCD time (sec),SCD 1 (ppm),SCD 2 (ppm),SCD 3 (ppm),SCD 4 (ppm)
1635306727,451,450,1635307629,1353,457,452,470,472
1635306728,452,450,1635307632,1356,456,451,469,472
1635306729,453,450,1635307635,1359,457,451,468,472
1635306730,454,452,1635307638,1362,457,451,467,471
1635306731,455,452,1635307641,1365,458,452,466,472
1635306732,456,454,1635307644,1368,459,452,466,473
1635306733,457,452,1635307647,1371,458,451,466,472
1635306734,458,450,1635307650,1374,458,451,465,472
1635306735,459,452,1635307653,1377,456,451,465,472
1635306736,460,452,1635307656,1380,456,451,465,472
1635306737,461,454,1635307659,1383,457,452,464,472
1635306738,462,450,1635307662,1386,456,452,462,472
1635306739,463,452,1635307665,1389,456,451,462,473
1635306740,464,450,1635307668,1392,456,452,461,473
1635306741,465,448,1635307671,1395,456,452,461,473
1635306742,466,452,1635307674,1398,457,452,462,473
1635306743,467,452,1635307677,1401,459,451,462,473
1635306744,468,452,1635307680,1404,460,451,462,473
1635306745,469,452,1635307683,1407,459,451,462,474
1635306746,470,452,1635307686,1410,459,450,462,473
1635306747,471,452,1635307689,1413,457,450,462,473
1635306748,472,452,1635307692,1416,458,449,462,473
1635306749,473,450,1635307695,1419,458,449,462,473
1635306750,474,452,1635307698,1422,456,449,461,472
1635306751,475,452,1635307701,1425,456,450,460,473
1635306752,476,452,1635307704,1428,455,450,460,472
1635306753,477,448,1635307707,1431,454,450,460,471
1635306754,478,452,1635307710,1434,454,450,459,470
1635306755,479,452,1635307713,1437,454,450,457,470
1635306756,480,450,1635307716,1440,454,449,456,470
1635306757,481,454,1635307719,1443,453,449,454,468
1635306758,482,452,1635307722,1446,452,450,455,468
1635306759,483,452,1635307725,1449,452,449,455,467
1635306760,484,448,1635307728,1452,452,449,454,467
1635306761,485,452,1635307731,1455,451,449,454,467
1635306762,486,450,1635307734,1458,450,449,455,467
1635306763,487,454,1635307737,1461,450,448,454,467
1635306764,488,450,1635307740,1464,451,447,456,467
1635306765,489,452,1635307743,1467,451,447,456,467
1635306766,490,452,1635307746,1470,450,448,455,467
1635306767,491,452,1635307749,1473,450,448,455,467
1635306768,492,452,1635307752,1476,450,447,455,467
1635306769,493,450,1635307755,1479,450,447,455,467
1635306770,494,452,1635307758,1482,450,448,454,467
1635306771,495,452,1635307761,1485,450,447,454,466
1635306772,496,452,1635307764,1488,449,447,454,467
1635306773,497,450,1635307767,1491,449,446,454,467
1635306774,498,456,1635307770,1494,450,445,455,466
1635306775,499,450,1635307773,1497,452,445,455,466
1635306776,500,452,1635307776,1500,451,445,455,466
1635306777,501,450,1635307779,1503,450,447,453,466
1635306778,502,452,1635307782,1506,449,446,453,465
1635306779,503,452,1635307785,1509,450,446,454,466
1635306780,504,452,1635307788,1512,451,446,454,465
1635306781,505,450,1635307791,1515,451,446,452,465
1635306782,506,452,1635307794,1518,451,445,452,465
1635306783,507,450,1635307797,1521,451,445,453,465
1635306784,508,450,1635307800,1524,451,445,453,465
1635306785,509,448,1635307803,1527,452,445,453,464
