unixtime,ws,wd,co2,temp
1625853393,5,233,412,41
1625853396,7,227,411,41
1625853399,9,213,413,41
1625853402,8,237,429,41
1625853405,11,206,427,41
1625853408,11,218,430,41
1625853411,13,212,426,41
1625853414,11,224,443,41
1625853417,9,219,427,41
1625853420,9,240,362,41
1625853423,10,214,382,41
1625853426,11,216,408,41
1625853429,11,221,427,41
1625853432,10,213,451,41
1625853435,10,224,542,41
1625853438,9,222,449,41
1625853441,8,207,448,41
1625853444,9,208,458,41
1625853447,7,203,456,41
1625853450,6,206,362,41
1625853453,5,222,374,41
1625853456,5,222,360,41
1625853459,8,233,380,41
1625853462,7,229,380,41
1625853465,8,206,387,41
1625853468,8,201,396,41
1625853471,9,200,414,41
1625853474,11,207,409,41
1625853477,10,212,419,41
1625853480,12,209,428,41
1625853483,10,229,395,41
1625853486,12,206,495,41
1625853489,11,204,506,41
1625853492,10,228,512,41
1625853495,9,229,416,41
1625853498,8,204,415,41
1625853501,9,235,426,41
1625853504,6,224,415,41
1625853507,5,223,423,41
1625853510,6,223,430,41
1625853513,7,222,405,41
1625853516,8,212,427,42
1625853519,7,215,435,41
1625853522,7,209,461,41
1625853525,6,229,421,42
1625853528,5,223,366,42
1625853531,7,220,358,42
1625853534,8,218,342,42
1625853537,7,214,394,41
1625853540,7,220,499,41
1625853543,6,237,419,42
1625853546,6,226,417,42
1625853549,6,220,390,42
1625853552,10,218,418,42
1625853555,11,220,420,42
1625853558,10,217,433,42
1625853561,10,206,420,42
1625853564,10,201,415,42
1625853567,15,208,415,42
1625853570,12,210,452,42
1625853573,11,255,446,41
1625853576,11,221,427,42
1625853579,8,214,393,41
1625853582,10,230,480,41
1625853585,9,256,298,41
1625853588,8,212,403,41
1625853591,6,308,343,41
1625853594,9,207,433,41
1625853597,7,240,509,41
1625853600,7,226,434,42
1625853603,7,205,464,42
1625853606,9,246,505,42
1625853609,11,217,488,42
1625853612,10,247,465,42
1625853615,8,229,440,41
1625853618,8,237,458,41
1625853621,9,224,442,41
1625853624,12,234,474,41
1625853627,10,213,459,41
1625853630,10,236,364,41
1625853633,10,224,245,41
1625853636,8,216,450,41
1625853639,6,245,413,41
1625853642,5,190,390,41
1625853645,7,233,390,41
1625853648,9,259,408,41
1625853651,6,267,479,41
1625853654,5,269,483,41
1625853657,4,237,498,41
1625853660,4,234,439,41
1625853663,8,244,423,41
1625853666,11,220,414,41
1625853669,9,226,427,41
1625853672,10,234,433,41
1625853675,11,215,421,41
1625853678,10,211,390,41
1625853681,10,215,395,41
1625853684,12,219,405,41
1625853687,10,222,391,41
1625853690,10,223,386,41
1625853693,12,214,386,41
1625853696,15,220,367,41
1625853699,14,215,366,41
1625853702,15,231,382,41
1625853705,11,249,374,41
1625853708,10,209,363,41
1625853711,8,226,385,41
1625853714,7,227,407,41
1625853717,8,250,434,41
1625853720,7,263,453,41
1625853723,5,270,443,41
1625853726,5,240,500,41
1625853729,4,249,496,41
1625853732,5,216,458,41
1625853735,5,267,447,41
1625853738,4,254,431,41
1625853741,5,252,437,41
1625853744,4,262,427,41
1625853747,4,259,452,41
1625853750,4,251,455,41
1625853753,5,271,432,41
1625853756,5,234,452,41
1625853759,8,235,451,41
1625853762,7,278,440,41
1625853765,8,236,449,41
1625853768,11,241,436,41
1625853771,8,249,441,41
1625853774,10,229,457,41
1625853777,10,239,392,41
1625853780,9,234,312,41
1625853783,7,257,412,41
1625853786,8,217,445,41
1625853789,9,231,457,41
1625853792,13,219,368,41
1625853795,12,243,404,41
1625853798,10,245,391,41
1625853801,8,259,390,41
1625853804,7,263,376,41
1625853807,6,234,423,41
1625853810,8,271,428,41
1625853813,12,234,441,41
1625853816,12,241,417,41
1625853819,8,265,415,41
1625853822,6,236,457,41
1625853825,8,224,444,41
1625853828,8,210,402,41
1625853831,8,229,316,41
1625853834,7,222,351,41
1625853837,7,224,373,41
1625853840,5,218,393,41
1625853843,3,221,404,41
1625853846,3,291,364,41
1625853849,5,234,386,41
1625853852,6,265,372,41
1625853855,5,265,387,41
1625853858,5,266,399,41
1625853861,3,265,396,41
1625853864,4,244,419,41
1625853867,3,184,412,41
1625853870,2,185,405,41
1625853873,1,182,384,41
1625853876,1,184,380,41
1625853879,2,184,366,41
1625853882,2,185,377,42
1625853885,4,185,366,42
1625853888,4,197,374,42
1625853891,4,251,373,42
1625853894,4,237,365,42
1625853897,4,229,353,42
1625853900,4,226,355,42
1625853903,5,238,364,42
1625853906,4,237,360,42
1625853909,3,231,362,42
1625853912,4,251,375,42
1625853915,6,222,381,42
1625853918,5,206,374,42
1625853921,6,201,358,42
1625853924,8,210,359,42
1625853927,10,220,392,42
1625853930,9,214,415,42
1625853933,11,210,454,42
1625853936,9,209,475,42
1625853939,9,211,395,42
1625853942,9,214,365,42
1625853945,9,254,372,42
1625853948,11,208,376,42
1625853951,11,212,416,42
1625853954,8,220,429,42
1625853957,7,209,403,42
1625853960,8,216,384,42
1625853963,7,231,377,42
1625853966,7,234,410,42
1625853969,7,258,439,42
1625853972,8,214,481,42
1625853975,10,217,401,42
1625853978,9,245,444,42
1625853981,7,208,485,42
1625853984,5,205,460,42
1625853987,6,208,457,42
1625853990,13,206,444,42
1625853993,12,222,429,42
1625853996,11,207,364,42
1625853999,13,207,394,42
1625854002,13,225,329,42
1625854005,13,210,346,42
1625854008,10,224,331,42
1625854011,12,211,278,42
1625854014,11,207,328,42
1625854017,12,207,334,41
1625854020,12,202,473,41
1625854023,9,214,407,41
1625854026,10,209,380,41
1625854029,11,215,378,41
1625854032,12,202,517,41
1625854035,10,238,466,41
1625854038,8,217,467,41
1625854041,9,215,376,41
1625854044,11,200,416,41
1625854047,12,216,414,41
1625854050,12,207,390,41
1625854053,13,235,344,41
1625854056,10,247,328,41
1625854059,8,225,389,41
1625854062,6,227,402,41
1625854065,4,250,411,41
1625854068,5,248,452,41
1625854071,5,204,462,41
1625854074,8,223,471,41
1625854077,8,241,428,42
1625854080,12,224,417,42
1625854083,15,222,352,42
1625854086,15,220,385,41
1625854089,16,241,415,41
1625854092,12,255,416,41
1625854095,9,246,437,41
1625854098,10,243,440,41
1625854101,12,224,355,41
1625854104,12,230,281,41
1625854107,11,253,431,41
1625854110,8,257,345,41
1625854113,6,276,437,41
1625854116,7,227,442,41
1625854119,7,237,443,41
1625854122,8,229,441,41
1625854125,7,259,412,41
1625854128,6,251,416,41
1625854131,6,265,405,41
1625854134,8,223,425,41
1625854137,9,254,416,41
1625854140,8,248,420,41
1625854143,6,242,396,41
1625854146,7,231,417,41
1625854149,11,189,420,41
1625854152,13,251,398,41
1625854155,12,217,337,41
1625854158,13,220,380,41
1625854161,15,237,486,41
1625854164,14,243,173,41
1625854167,13,242,237,41
1625854170,9,231,261,41
1625854173,10,208,422,41
1625854176,8,226,583,41
1625854179,7,217,469,41
1625854182,8,203,390,41
1625854185,9,219,392,41
1625854188,6,238,419,41
1625854191,8,230,415,41
1625854194,10,208,404,41
1625854197,11,224,411,41
1625854200,11,220,423,41
1625854203,10,214,425,41
1625854206,11,217,441,41
1625854209,11,206,364,41
1625854212,10,205,417,41
1625854215,8,237,463,41
1625854218,7,236,379,41
1625854221,6,222,402,41
1625854224,8,225,406,41
1625854227,8,217,416,41
1625854230,8,229,378,41
1625854233,10,222,281,41
1625854236,9,215,288,41
1625854239,8,239,327,41
1625854242,9,235,288,41
