Read times - Voltage  graph	Voltage(V) - Voltage  graph	Read times - Current graph	Current(A) - Current graph	
816	4.984	816	0.0302	
817	4.983	817	0.0302	
818	4.983	818	0.0858	
819	4.984	819	0.0858	
820	4.984	820	0.0302	
821	4.982	821	0.0302	
822	4.982	822	0.0860	
823	4.984	823	0.0860	
824	4.984	824	0.0300	
825	4.984	825	0.0300	
826	4.984	826	0.0625	
827	4.984	827	0.0625	
828	4.984	828	0.0302	
829	4.984	829	0.0302	
830	4.984	830	0.0619	
831	4.984	831	0.0619	
832	4.984	832	0.0302	
833	4.983	833	0.0302	
834	4.983	834	0.0615	
835	4.982	835	0.0615	
836	4.982	836	0.0294	
837	4.981	837	0.0294	
838	4.981	838	0.0609	
839	4.984	839	0.0609	
840	4.984	840	0.0294	
841	4.983	841	0.0294	
842	4.983	842	0.0607	
843	4.984	843	0.0607	
844	4.984	844	0.0302	
845	4.981	845	0.0302	
846	4.981	846	0.0604	
847	4.985	847	0.0604	
848	4.985	848	0.0302	
849	4.982	849	0.0302	
850	4.982	850	0.0596	
851	4.983	851	0.0596	
852	4.983	852	0.0300	
853	4.983	853	0.0300	
854	4.983	854	0.0590	
855	4.984	855	0.0590	
856	4.984	856	0.0302	
857	4.984	857	0.0302	
858	4.984	858	0.0343	
859	4.984	859	0.0343	
860	4.984	860	0.0302	
861	4.984	861	0.0302	
862	4.984	862	0.0345	
863	4.984	863	0.0345	
864	4.984	864	0.0296	
865	4.976	865	0.0296	
866	4.976	866	0.0343	
867	4.984	867	0.0343	
868	4.984	868	0.0294	
869	4.978	869	0.0294	
870	4.978	870	0.0345	
871	4.984	871	0.0345	
872	4.984	872	0.0311	
873	4.978	873	0.0311	
874	4.978	874	0.0343	
875	4.984	875	0.0343	
876	4.984	876	0.0339	
877	4.978	877	0.0339	
878	4.978	878	0.0341	
879	4.984	879	0.0341	
880	4.984	880	0.0313	
881	4.977	881	0.0313	
882	4.977	882	0.0339	
883	4.984	883	0.0339	
884	4.984	884	0.0315	
885	4.977	885	0.0315	
