"unixtime","datetime","date","ws","wd","co2","temp"
1625605708,2021-07-06 21:08:28,"07/06/2021 21:08",4.02,13,455,42
1625605711,2021-07-06 21:08:31,"07/06/2021 21:08",3.02,14,389,41
1625605714,2021-07-06 21:08:34,"07/06/2021 21:08",3.02,15,320,42
1625605717,2021-07-06 21:08:37,"07/06/2021 21:08",2.35,28,324,42
1625605720,2021-07-06 21:08:40,"07/06/2021 21:08",2.68,46,359,42
1625605723,2021-07-06 21:08:43,"07/06/2021 21:08",2.35,27,358,42
1625605726,2021-07-06 21:08:46,"07/06/2021 21:08",3.02,21,386,42
1625605729,2021-07-06 21:08:49,"07/06/2021 21:08",2.35,40,398,42
1625605732,2021-07-06 21:08:52,"07/06/2021 21:08",2.01,24,441,42
1625605735,2021-07-06 21:08:55,"07/06/2021 21:08",2.68,46,440,42
1625605738,2021-07-06 21:08:58,"07/06/2021 21:08",2.68,28,511,42
1625605741,2021-07-06 21:09:01,"07/06/2021 21:09",3.02,39,421,42
1625605744,2021-07-06 21:09:04,"07/06/2021 21:09",3.02,33,485,42
1625605747,2021-07-06 21:09:07,"07/06/2021 21:09",3.02,41,472,42
1625605750,2021-07-06 21:09:10,"07/06/2021 21:09",3.02,45,454,42
1625605753,2021-07-06 21:09:13,"07/06/2021 21:09",3.02,38,435,42
1625605756,2021-07-06 21:09:16,"07/06/2021 21:09",3.69,49,462,41
1625605759,2021-07-06 21:09:19,"07/06/2021 21:09",3.69,46,484,41
1625605762,2021-07-06 21:09:22,"07/06/2021 21:09",3.35,59,394,41
1625605765,2021-07-06 21:09:25,"07/06/2021 21:09",3.35,84,558,41
1625605768,2021-07-06 21:09:28,"07/06/2021 21:09",3.02,70,585,41
1625605771,2021-07-06 21:09:31,"07/06/2021 21:09",2.01,66,421,41
1625605774,2021-07-06 21:09:34,"07/06/2021 21:09",3.69,61,355,41
1625605777,2021-07-06 21:09:37,"07/06/2021 21:09",3.02,72,389,41
1625605780,2021-07-06 21:09:40,"07/06/2021 21:09",2.68,59,417,41
1625605783,2021-07-06 21:09:43,"07/06/2021 21:09",3.35,60,364,41
1625605786,2021-07-06 21:09:46,"07/06/2021 21:09",3.35,59,453,41
1625605789,2021-07-06 21:09:49,"07/06/2021 21:09",3.02,54,476,41
1625605792,2021-07-06 21:09:52,"07/06/2021 21:09",2.35,74,402,41
1625605795,2021-07-06 21:09:55,"07/06/2021 21:09",2.35,56,413,41
1625605798,2021-07-06 21:09:58,"07/06/2021 21:09",2.68,52,381,41
1625605801,2021-07-06 21:10:01,"07/06/2021 21:10",2.01,58,437,41
1625605804,2021-07-06 21:10:04,"07/06/2021 21:10",2.35,55,479,41
1625605807,2021-07-06 21:10:07,"07/06/2021 21:10",2.01,57,443,41
1625605810,2021-07-06 21:10:10,"07/06/2021 21:10",1.68,85,440,41
1625605813,2021-07-06 21:10:13,"07/06/2021 21:10",1.01,58,429,41
1625605816,2021-07-06 21:10:16,"07/06/2021 21:10",1.01,46,405,42
