unixtime,ws,wd,co2,temp
1625606605,11,84,504,42
1625606608,9,72,507,42
1625606611,9,59,476,42
1625606614,9,61,482,42
1625606617,8,46,451,42
1625606620,8,23,456,42
1625606623,5,27,461,42
1625606626,5,13,471,42
1625606629,6,15,473,42
1625606632,6,17,461,42
1625606635,6,42,452,42
1625606638,6,28,447,42
1625606641,8,59,457,42
1625606644,8,76,452,42
1625606647,9,61,444,42
1625606650,8,80,434,42
1625606653,9,55,437,42
1625606656,10,59,435,42
1625606659,10,29,445,42
1625606662,8,37,449,42
1625606665,8,30,451,42
1625606668,8,21,440,42
1625606671,9,14,441,42
1625606674,9,15,427,42
1625606677,9,17,418,42
1625606680,7,39,427,42
1625606683,7,20,447,42
1625606686,8,26,445,42
1625606689,8,45,436,42
1625606692,6,54,465,42
1625606695,4,60,462,42
1625606698,5,62,430,42
1625606701,6,61,408,42
1625606704,4,59,376,42
1625606707,3,55,512,42
1625606710,3,61,441,42
1625606713,3,34,482,42
1625606716,2,15,520,42
1625606719,3,13,525,42
1625606722,4,15,478,42
1625606725,5,38,461,43
1625606728,6,21,426,43
1625606731,6,23,456,43
1625606734,4,53,471,43
1625606737,6,60,377,43
1625606740,8,74,367,43
1625606743,8,63,402,43
1625606746,7,62,567,43
1625606749,7,60,428,43
1625606752,5,57,515,43
1625606755,5,43,605,43
1625606758,6,16,342,43
1625606761,6,13,424,43
1625606764,5,22,399,43
1625606767,6,16,386,43
1625606770,6,38,415,43
1625606773,6,21,427,43
1625606776,4,58,445,43
1625606779,3,56,466,43
1625606782,6,63,527,43
1625606785,6,84,501,43
1625606788,5,60,247,43
1625606791,5,56,316,43
1625606794,7,54,292,43
1625606797,11,33,396,43
1625606800,7,43,387,43
1625606803,6,14,456,43
1625606806,4,31,357,43
1625606809,6,15,457,43
1625606812,6,20,576,43
1625606815,6,40,452,43
1625606818,8,20,341,43
1625606821,7,21,512,43
1625606824,6,26,458,43
1625606827,5,28,450,43
1625606830,5,54,443,43
1625606833,3,61,447,43
1625606836,3,62,519,43
1625606839,4,62,456,43
1625606842,3,58,326,43
1625606845,3,72,378,43
1625606848,2,57,401,43
1625606851,2,37,272,43
1625606854,1,15,312,43
1625606857,2,13,311,43
1625606860,3,35,339,43
1625606863,3,20,340,43
1625606866,3,22,303,43
1625606869,2,48,422,43
1625606872,4,58,427,43
1625606875,4,69,446,43
1625606878,5,63,513,43
1625606881,5,61,492,43
1625606884,4,60,490,43
1625606887,3,58,467,43
1625606890,4,65,424,43
1625606893,4,57,399,43
1625606896,4,51,398,43
1625606899,3,51,463,43
1625606902,4,28,507,43
1625606905,7,62,434,43
1625606908,8,15,452,43
1625606911,12,14,465,43
1625606914,12,15,481,43
1625606917,9,19,485,43
1625606920,7,48,489,43
1625606923,6,38,474,43
1625606926,6,57,455,43
1625606929,8,64,447,43
1625606932,6,62,433,43
1625606935,5,78,438,43
1625606938,6,54,455,43
1625606941,6,69,450,43
1625606944,6,42,439,43
1625606947,6,16,446,43
1625606950,9,39,435,43
1625606953,7,15,550,43
