unixtime,ws,wd,co2,temp
1625854390,7,291,156,36
1625854393,6,291,203,36
1625854396,6,280,177,36
1625854399,7,281,99,36
1625854402,6,301,87,36
1625854405,8,299,98,36
1625854408,8,300,93,36
1625854411,10,300,92,36
1625854414,9,284,85,36
1625854417,7,304,79,35
1625854420,10,304,98,35
1625854423,9,271,242,35
1625854426,6,327,108,35
1625854429,5,328,179,35
1625854432,3,327,294,35
1625854435,3,324,231,36
1625854438,3,323,50,36
1625854441,3,323,32,36
1625854444,3,323,74,36
1625854447,3,323,75,36
1625854450,3,324,86,36
1625854453,3,324,97,36
1625854456,3,324,108,36
1625854459,3,322,127,36
1625854462,5,318,133,36
1625854465,7,267,122,36
1625854468,8,259,101,36
1625854471,6,260,103,36
1625854474,5,247,174,36
1625854477,4,249,359,36
1625854480,3,249,368,36
1625854483,3,249,318,36
1625854486,5,249,290,36
1625854489,4,249,277,36
1625854492,4,249,184,36
1625854495,3,249,183,36
1625854498,2,248,190,36
1625854501,3,248,174,37
1625854504,5,249,142,37
1625854507,4,249,157,37
1625854510,5,250,138,37
1625854513,5,259,156,37
1625854516,4,260,171,37
1625854519,4,267,177,37
1625854522,3,264,197,37
1625854525,3,265,202,37
1625854528,6,264,191,37
1625854531,7,266,180,37
1625854534,7,266,132,37
1625854537,5,266,163,37
1625854540,5,266,173,37
1625854543,4,269,178,37
1625854546,3,269,154,37
1625854549,2,269,155,37
1625854552,2,269,148,37
1625854555,2,269,125,37
1625854558,2,269,117,37
1625854561,2,268,112,37
1625854564,2,269,112,37
1625854567,4,269,126,37
1625854570,5,278,134,37
1625854573,6,293,147,37
1625854576,5,294,158,37
1625854579,3,291,149,37
1625854582,2,291,80,37
1625854585,3,291,90,37
1625854588,3,291,134,37
1625854591,2,291,122,37
1625854594,2,291,120,37
1625854597,2,291,131,37
1625854600,2,291,125,37
1625854603,2,291,135,37
1625854606,2,291,155,37
1625854609,3,291,172,37
1625854612,5,291,121,37
1625854615,6,291,11,37
1625854618,6,284,77,37
1625854621,5,284,110,37
1625854624,4,284,213,37
1625854627,4,285,171,37
1625854630,4,285,222,37
1625854633,2,285,257,37
1625854636,2,285,269,37
1625854639,1,284,178,37
1625854642,1,285,31,37
1625854645,0,285,36,37
1625854648,0,285,36,37
1625854651,0,285,53,37
1625854654,2,254,48,37
1625854657,6,254,44,37
1625854660,7,283,89,37
1625854663,6,283,16,37
1625854666,6,269,42,37
1625854669,7,270,212,37
1625854672,6,269,186,37
