Running bytecode...,,,,,,,,,,
SCD Initializing,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,
,,,,,,,,,,
Memory:       6896,,,,,,,,,,
RF identifier 2,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,
Hub Connect:  1,,,,,,,,,,
Transmit On:  1,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,
,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692140,0,0,0,358,0,6080,0,3.22
1,1,946692143,0,24,33,358,0,4368,0,3.21
1,1,946692146,566,24,33,358,0,4368,0,3.23
1,1,946692149,573,24,33,358,0,4368,0,3.11
1,1,946692152,605,24,33,358,0,4368,0,3.23
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692155,0,0,0,358,0,6080,0,3.23
1,1,946692158,0,24,33,359,0,4368,0,3.24
1,1,946692161,499,24,33,357,0,4368,0,3.23
1,1,946692164,603,24,33,358,0,4368,0,3.11
1,1,946692167,624,24,33,360,0,4368,0,3.24
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692170,0,0,0,358,0,6080,0,3.22
1,1,946692173,0,24,33,359,0,4368,0,3.23
1,1,946692176,520,24,33,358,0,4368,0,3.24
1,1,946692179,616,24,33,358,0,4368,0,3.11
1,1,946692182,615,24,33,358,0,4368,0,3.24
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692185,0,0,0,358,0,6080,0,3.25
1,1,946692188,0,24,33,358,0,4368,0,3.26
1,1,946692191,517,24,33,358,0,4368,0,3.26
1,1,946692194,585,24,33,359,0,4368,0,3.26
1,1,946692197,625,24,33,358,0,4368,0,3.26
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692200,0,0,0,358,0,6080,0,3.22
1,1,946692203,0,24,33,358,0,4368,0,3.24
1,1,946692206,513,24,33,359,0,4368,0,3.24
1,1,946692209,562,24,33,358,0,4368,0,3.11
1,1,946692212,614,24,33,358,0,4368,0,3.23
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
