Memory:       7104,,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
1,1,946771165,751,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771168,751,23,38,359,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771171,752,23,38,358,0,4496,0,3.16,TRUE,,,,,,,,,,
1,1,946771174,745,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771177,747,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771180,749,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771183,752,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771186,558,23,38,358,0,4496,0,3.14,TRUE,,,,,,,,,,
1,1,946771189,582,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771192,600,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771195,630,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771198,725,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771201,726,23,38,358,0,4496,0,3.15,TRUE,,,,,,,,,,
1,1,946771204,769,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771207,777,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771210,770,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771213,774,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
