Memory:       7056,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  None,,,,,,,,,,,,,,,,,,,,
Hub Connect:  0,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,0,1644821850,786,24,32,163,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821853,788,24,32,237,0,4128,0,3.38,TRUE,,,,,,,,,
1,0,1644821856,788,24,32,233,0,4128,0,3.4,TRUE,,,,,,,,,
1,0,1644821859,787,24,32,233,0,4128,0,3.36,TRUE,,,,,,,,,
1,0,1644821862,787,24,32,223,0,4128,0,3.31,TRUE,,,,,,,,,
1,0,1644821865,786,24,32,216,0,4128,0,3.49,TRUE,,,,,,,,,
1,0,1644821868,785,24,32,216,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644821871,786,24,32,205,0,4128,0,3.34,TRUE,,,,,,,,,
1,0,1644821874,785,24,32,218,0,4128,0,3.31,TRUE,,,,,,,,,
1,0,1644821877,787,24,32,209,0,4128,0,3.22,TRUE,,,,,,,,,
1,0,1644821880,787,24,32,213,0,4128,0,3.29,TRUE,,,,,,,,,
1,0,1644821883,786,24,32,154,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821886,784,24,32,165,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821889,785,24,32,134,0,4128,0,3.23,TRUE,,,,,,,,,
1,0,1644821892,786,24,32,169,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821895,786,24,32,181,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821898,786,24,32,176,0,4128,0,3.36,TRUE,,,,,,,,,
1,0,1644821901,786,24,32,185,0,4128,0,3.22,TRUE,,,,,,,,,
1,0,1644821904,786,24,32,213,0,4128,0,3.32,TRUE,,,,,,,,,
1,0,1644821907,786,24,32,181,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821910,785,24,32,174,0,4128,0,3.2,TRUE,,,,,,,,,
1,0,1644821913,786,24,32,175,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821916,786,24,32,98,0,4128,0,3.12,TRUE,,,,,,,,,
1,0,1644821919,786,24,32,132,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821922,787,24,32,155,0,4128,0,3.21,TRUE,,,,,,,,,
1,0,1644821925,786,24,32,160,0,4128,0,3.2,TRUE,,,,,,,,,
1,0,1644821928,786,24,32,169,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821931,786,24,32,202,0,4128,0,3.27,TRUE,,,,,,,,,
1,0,1644821934,785,24,32,229,0,4128,0,3.34,TRUE,,,,,,,,,
1,0,1644821937,785,23,32,223,0,4128,0,3.35,TRUE,,,,,,,,,
1,0,1644821940,785,23,32,229,0,4128,0,3.38,TRUE,,,,,,,,,
1,0,1644821943,783,23,32,227,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644821946,782,23,32,228,0,4128,0,3.27,TRUE,,,,,,,,,
1,0,1644821949,783,23,32,160,0,4128,0,3.22,TRUE,,,,,,,,,
1,0,1644821952,783,24,32,189,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644821955,783,24,32,213,0,4128,0,3.33,TRUE,,,,,,,,,
1,0,1644821958,781,24,32,212,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821961,780,23,33,201,0,4128,0,3.22,TRUE,,,,,,,,,
1,0,1644821964,780,24,33,179,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821967,780,23,32,216,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644821970,781,24,32,173,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821973,780,24,32,169,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644821976,780,24,32,129,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821979,781,24,32,159,0,4128,0,3.23,TRUE,,,,,,,,,
1,0,1644821982,779,24,32,170,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821985,778,24,33,155,0,4128,0,3.21,TRUE,,,,,,,,,
1,0,1644821988,780,24,32,150,0,4128,0,3.11,TRUE,,,,,,,,,
1,0,1644821991,779,24,32,151,0,4128,0,3.27,TRUE,,,,,,,,,
1,0,1644821994,778,24,32,151,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644821997,780,24,32,156,0,4128,0,3.23,TRUE,,,,,,,,,
1,0,1644822000,781,24,32,223,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644822003,784,24,33,204,0,4128,0,3.34,TRUE,,,,,,,,,
1,0,1644822006,785,24,33,163,0,4128,0,3.13,TRUE,,,,,,,,,
1,0,1644822009,784,24,33,149,0,4128,0,3.13,TRUE,,,,,,,,,
1,0,1644822012,785,24,32,304,0,4128,0,3.45,TRUE,,,,,,,,,
1,0,1644822015,785,23,33,302,0,4128,0,3.36,TRUE,,,,,,,,,
1,0,1644822018,784,24,32,229,0,4128,0,3.27,TRUE,,,,,,,,,
1,0,1644822021,784,24,32,188,0,4128,0,3.18,TRUE,,,,,,,,,
